,x,y,cluster,r,g,b
6175,-12.1731415,87.405266,1,46,0,53
28056,0.71897775,57.91295,17,0,168,175
82578,49.169067,65.18899499999999,31,117,255,0
34460,53.1681,28.857143,3,122,0,138
68818,-24.022163,6.761475999999999,14,0,143,221
8987,-69.09035,7.717798700000001,12,0,102,221
31148,13.959691000000001,-3.7037263,30,43,255,0
77455,68.46614,43.425518,38,255,177,0
69719,-39.417763,43.181999999999995,39,255,157,0
9354,-15.004848499999998,-31.192114,24,0,180,0
1491,-32.09171,19.076897,9,0,0,205
60879,-25.974076999999998,-14.604605,18,0,170,157
13426,-31.05392,98.82287600000001,2,93,0,106
64511,-63.830963,18.620989,28,0,236,0
11037,-11.632958,72.27216999999999,1,46,0,53
32424,2.7496307,-42.985447,19,0,170,143
61951,58.99100000000001,-4.011042,16,0,161,195
39359,60.213238,-10.3444195,16,0,161,195
57269,55.873282999999994,44.794365,3,122,0,138
78245,5.798312,-43.986763,19,0,170,143
27316,-60.87413000000001,-12.629817,35,242,228,0
10881,-29.320621000000003,27.603695000000002,9,0,0,205
62701,-28.494329999999998,65.51661,22,0,154,7
73560,-48.104755,76.852005,2,93,0,106
29600,48.70173,-34.516284999999996,20,0,167,114
17318,-39.92915,42.455643,39,255,157,0
18253,-54.473255,-0.373231,27,0,223,0
11796,47.270874,-22.239683,20,0,167,114
57468,27.836129999999997,-60.141482999999994,7,23,0,167
66065,40.532740000000004,4.798964499999999,11,0,56,221
34271,10.455324000000001,39.855391999999995,17,0,168,175
31424,-37.721775,-63.69335600000001,40,255,105,0
74773,5.3252334999999995,-38.501346999999996,19,0,170,143
83232,-19.338041,42.999416,41,255,32,0
41305,55.07841,-66.981964,49,204,204,204
37593,-87.05707,10.461859,12,0,102,221
85783,45.5804,9.872733,11,0,56,221
78565,-30.659077000000003,23.216797,9,0,0,205
34338,-33.487790000000004,-27.437395000000002,18,0,170,157
21525,16.318432,49.34174,17,0,168,175
82110,87.73530600000001,-3.219575,15,0,155,215
13203,36.859505,-81.909164,0,0,0,0
68942,-34.840559999999996,-43.681107,4,128,0,145
40918,-15.894430999999999,-58.111706000000005,25,0,193,0
19160,-11.565047,54.928043,47,204,44,44
34751,-7.907986599999999,-9.2567005,33,211,246,0
60849,-88.58435,-21.300034,8,0,0,181
50322,12.235771000000002,19.306866,29,0,249,0
57601,-55.589034999999996,-37.390873,4,128,0,145
40993,-54.736380000000004,-29.618332000000002,4,128,0,145
39657,51.079197,68.84994499999999,31,117,255,0
30053,-52.428554999999996,-32.69726,4,128,0,145
80333,-3.8098504999999996,72.29368000000001,1,46,0,53
33042,31.197533,-52.84301,7,23,0,167
6890,49.519496999999994,21.318525,3,122,0,138
86158,-82.28055,-53.785378,43,235,0,0
38432,-27.724483000000003,-88.8128,10,0,9,221
79367,7.7605357,10.106272,29,0,249,0
48346,-0.21229902,30.642532,34,231,239,0
25635,57.132645,7.0064135,11,0,56,221
59908,-81.03891999999999,-22.14783,8,0,0,181
79452,75.512505,39.079223999999996,38,255,177,0
30923,3.6251910000000005,55.972103000000004,17,0,168,175
10660,37.81635,-83.646286,0,0,0,0
57213,50.555115,-63.391082999999995,49,204,204,204
16276,-42.794884,62.644881999999996,13,0,127,221
39270,38.25444,-84.582756,0,0,0,0
78459,-67.81376999999999,0.29629064,12,0,102,221
60779,-67.81435400000001,0.29625025,12,0,102,221
15692,59.60516,9.272791,11,0,56,221
60275,-95.24768,-32.838753000000004,8,0,0,181
56384,23.111065,82.5428,23,0,166,0
23292,38.154312,20.581156,11,0,56,221
78190,-54.201480000000004,40.872334,39,255,157,0
49168,54.766705,-66.48096,49,204,204,204
53395,-55.38375,-38.17995,4,128,0,145
78732,-32.165915999999996,-9.366577000000001,5,130,0,153
67665,3.4264533999999998,-103.47439,6,77,0,160
81095,27.071603999999997,46.084145,17,0,168,175
11321,-27.618716999999997,65.9935,22,0,154,7
40215,82.4244,-6.539168,15,0,155,215
84318,46.852909999999994,-15.818947,16,0,161,195
63912,-9.017987,-87.12045,6,77,0,160
61224,-51.10335,59.39756800000001,13,0,127,221
12503,70.61095,19.056383,37,255,197,0
42093,3.0258717999999996,36.381240000000005,34,231,239,0
57150,2.7607896,13.159379000000001,29,0,249,0
86546,-10.282686,87.171265,1,46,0,53
28488,72.856995,-45.118996,26,0,207,0
87001,-11.977094000000001,15.244034,14,0,143,221
53677,-36.801815000000005,-47.02169,4,128,0,145
76930,37.57097,-80.33507,0,0,0,0
56099,18.743523,12.55091,21,0,160,61
36351,4.200458,99.475204,1,46,0,53
56756,29.989887,82.28888,23,0,166,0
23297,-14.083163,-16.777832,18,0,170,157
28112,-30.229196999999996,22.454351000000003,9,0,0,205
55620,-11.327081,57.25219,47,204,44,44
12689,-3.260769,-9.969019,33,211,246,0
31866,-77.5188,-61.379394999999995,43,235,0,0
32757,55.644527000000004,8.958712,11,0,56,221
43615,-20.398212,-8.7209835,14,0,143,221
16123,11.781178,16.283712,29,0,249,0
57455,25.179987,-59.83473000000001,7,23,0,167
26394,-54.78661700000001,9.661373,27,0,223,0
407,76.4548,-1.0667934,15,0,155,215
46153,-21.595179,18.897489999999998,14,0,143,221
11372,1.1275246,-9.467621000000001,33,211,246,0
47877,-100.51182,-6.634191499999999,36,250,212,0
6271,46.95355,67.09565,31,117,255,0
53539,31.887062,-47.492672,7,23,0,167
44215,-54.58420600000001,-11.403792,27,0,223,0
58713,-38.648920000000004,14.566487,9,0,0,205
56618,58.407574,8.832688000000001,11,0,56,221
22721,31.789747,4.4084234,48,204,124,124
26330,3.1352580000000003,-99.94400999999999,6,77,0,160
43234,-32.898556,-19.43928,18,0,170,157
430,-28.626346999999996,-22.288382000000002,18,0,170,157
67404,25.987005,78.69363,23,0,166,0
14740,72.50908000000001,45.614403,38,255,177,0
63970,51.326786,10.380086,11,0,56,221
36531,-14.265995000000002,15.408057000000001,14,0,143,221
43076,-9.141525999999999,-43.053999999999995,24,0,180,0
70291,-24.897876999999998,72.24601,22,0,154,7
19846,0.7249545999999999,-98.796486,6,77,0,160
2376,57.00561999999999,-55.315506000000006,49,204,204,204
35289,26.68325,-46.916016,7,23,0,167
58253,56.075726,5.58327,16,0,161,195
30722,27.053827000000002,-56.91961,7,23,0,167
11946,-0.4555648,-60.762722,44,222,0,0
34809,53.092445,30.215384999999998,3,122,0,138
30155,-43.008990000000004,-14.987276999999999,5,130,0,153
7301,49.27513,-23.481635999999998,20,0,167,114
33661,5.5523185999999995,-26.325258,19,0,170,143
13572,16.365334,-13.819851000000002,30,43,255,0
56996,61.28135,-3.9229805,16,0,161,195
51583,27.991217,-2.479061,48,204,124,124
46392,-37.02082,67.12436,22,0,154,7
25487,-42.679474,-63.739723,40,255,105,0
38989,73.1408,-39.920757,26,0,207,0
79594,-36.065193,-50.677696000000005,4,128,0,145
24249,-20.038382000000002,-8.200784,14,0,143,221
63943,77.41436,47.8968,38,255,177,0
18023,-13.077715,63.431309999999996,47,204,44,44
66739,27.421026,47.630905,17,0,168,175
70822,51.926876,-8.875005,16,0,161,195
26186,-36.343384,-65.51326,40,255,105,0
50065,-8.894488,30.058126,34,231,239,0
51941,-58.771069999999995,-0.43525973,27,0,223,0
28342,-44.750557,-16.144453,5,130,0,153
31332,-29.305569000000002,57.919582,22,0,154,7
50792,-96.32483,-2.4104867000000003,36,250,212,0
42224,-39.415176,43.179840000000006,39,255,157,0
73766,-32.417828,6.0973562999999995,27,0,223,0
65537,33.158375,-0.27512896,48,204,124,124
9812,44.37825,-32.68687,20,0,167,114
24537,89.84886999999999,15.536572,37,255,197,0
35300,59.124947,-15.623857500000002,42,249,0,0
48638,5.6159606,-54.959766,44,222,0,0
31816,-36.963352,-36.364613,4,128,0,145
61820,19.326242,-30.100053999999997,32,191,253,0
56410,-9.702238000000001,83.72413,1,46,0,53
41901,27.373428000000004,-47.69662,7,23,0,167
19209,55.01621,-6.8718023,16,0,161,195
84015,13.238795999999999,-0.3628135,30,43,255,0
84487,-61.322166,-10.605585000000001,35,242,228,0
32271,-12.365441,82.59213000000001,1,46,0,53
37334,49.14989,-30.556103000000004,20,0,167,114
2990,42.810295,-28.573390999999997,20,0,167,114
45526,12.520182,-1.2249873,30,43,255,0
72863,64.57575,39.75479,38,255,177,0
56960,-30.163266999999998,-89.287125,10,0,9,221
57060,-1.2841717,7.109804,14,0,143,221
51674,-10.067273,-83.684326,6,77,0,160
2960,33.498238,-1.4683293,48,204,124,124
54386,-4.8109565000000005,70.643326,1,46,0,53
37660,-10.109267,-16.063126,33,211,246,0
85092,-12.009032000000001,56.679522999999996,47,204,44,44
48830,-48.15546,77.10113,2,93,0,106
22317,-38.525776,-44.92288,4,128,0,145
54506,74.43779,36.655457,38,255,177,0
53340,26.81829,22.853113,21,0,160,61
24338,66.02502,-18.553051,42,249,0,0
68764,-30.00517,21.155397,9,0,0,205
30626,-9.490129,-45.01312,24,0,180,0
31839,53.536427,5.8258333,11,0,56,221
19101,-16.4082,64.77078,47,204,44,44
81341,-73.71443000000001,-52.05298,43,235,0,0
52358,11.129835,46.808186,17,0,168,175
78651,7.877308,10.075887,29,0,249,0
10992,-10.758658,-64.39454,25,0,193,0
50283,37.888040000000004,5.057671,11,0,56,221
34348,26.057389999999998,79.350555,23,0,166,0
10602,19.936121,49.798138,17,0,168,175
37241,-73.71435,-52.053090000000005,43,235,0,0
